review,sentimento,nota,banco
"Fila de espera eterna para falar com humano, é impossível Vou cancelar.",negativo,2,Neon
Satisfeito com o básico mas quero ver evolução nos próximos meses Está de bom tamanho.,neutro,3,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente com certeza.",positivo,5,Bradesco
"Sem cobranças escondidas, totalmente transparente com as tarifas com certeza.",positivo,5,Nubank
"Prefiro para conta corrente, para investimentos tem opções melhores Vou continuar usando.",neutro,3,Banco do Brasil
"Não consigo acessar minha conta há dias, suporte não resolve Vou cancelar.",negativo,2,Inter
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Bradesco
"Não consigo acessar minha conta há dias, suporte não resolve Não recomendo.",negativo,2,Next
"Suporte robotizado que não resolve nada, completamente inútil Nunca mais.",negativo,1,Inter
Suporte demora às vezes mas resolve no final das contas Está de bom tamanho.,neutro,3,Next
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Bradesco
"Sistema fora do ar nos fins de semana, totalmente irresponsável Péssimo.",negativo,1,Bradesco
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,1,PicPay
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Itaú
"Excelente experiência com o suporte via WhatsApp, muito ágil no geral.",positivo,4,PicPay
Suporte demora às vezes mas resolve no final das contas Vou continuar usando.,neutro,3,Inter
"Estorno demorou 30 dias, totalmente inadmissível ",negativo,2,Neon
"Aplicativo horrível no iOS, não abre desde a última atualização Vou cancelar.",negativo,2,Inter
"Melhor banco que já tive, zero tarifas e suporte incrível com certeza.",positivo,5,Banco do Brasil
Cobraram IOF absurdo sem informar antes da compra internacional ,negativo,1,PicPay
Transferência rejeitada sem motivo nenhum e sem explicação Absurdo.,negativo,2,Banco do Brasil
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Neon
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso ",neutro,3,Neon
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,C6 Bank
"Rendimento da conta superior aos outros bancos, ótima opção vale muito a pena.",positivo,4,Bradesco
"Cartão sem anuidade e cashback real, estou muito satisfeito ",positivo,5,Banco do Brasil
"Ótimo banco digital, recomendo para todos os meus amigos ",positivo,5,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Neon
"App lento e cheio de bugs, precisa melhorar urgentemente Vou cancelar.",negativo,1,Bradesco
"Cancelei o cartão e continuaram cobrando anuidade, absurdo ",negativo,1,Inter
"Abri minha conta em minutos, processo simples e rápido no geral.",positivo,4,Itaú
"App lento e cheio de bugs, precisa melhorar urgentemente Absurdo.",negativo,1,Itaú
Transferência rejeitada sem motivo nenhum e sem explicação Absurdo.,negativo,2,Inter
"Não consigo acessar o extrato antigo, app apagou tudo ",negativo,1,PicPay
Algumas funcionalidades boas mas falta o cartão físico virtual No geral ok.,neutro,3,Itaú
"Banco que valoriza o cliente, promoções e benefícios reais sempre.",positivo,5,Itaú
"App estável e bonito, atualizações sempre melhoram a experiência sempre.",positivo,4,Santander
"Não consigo acessar o extrato antigo, app apagou tudo Absurdo.",negativo,1,Neon
Atendentes mal treinados que não sabem responder nada Vou cancelar.,negativo,2,Neon
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Nubank
Transferência rejeitada sem motivo nenhum e sem explicação Vou cancelar.,negativo,1,Santander
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Bradesco
"Aplicativo horrível no iOS, não abre desde a última atualização Não recomendo.",negativo,2,Next
"App muito bom, transferências instantâneas sem nenhum problema ",positivo,5,Banco do Brasil
App travou durante uma transferência e o dinheiro sumiu do saldo Péssimo.,negativo,1,Bradesco
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sempre.",positivo,4,Next
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,Santander
Investi meu dinheiro pelo app e o processo foi muito simples no geral.,positivo,5,Next
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Banco do Brasil
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Absurdo.,negativo,1,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,2,C6 Bank
"Tarifas aceitáveis, não é o mais barato mas também não é caro ",neutro,3,Itaú
"Crédito aprovado na hora, processo 100% digital e sem burocracia vale muito a pena.",positivo,5,Next
"Melhor banco que já tive, zero tarifas e suporte incrível todo dia uso.",positivo,5,Banco do Brasil
"Melhor banco que já tive, zero tarifas e suporte incrível sem dúvida.",positivo,4,Neon
"Sem cobranças escondidas, totalmente transparente com as tarifas sempre.",positivo,4,Next
Bloquearam meu cartão sem motivo e não consegui desbloquear Evitem.,negativo,2,Next
"Não consigo acessar minha conta há dias, suporte não resolve Evitem.",negativo,2,Next
"Prefiro para conta corrente, para investimentos tem opções melhores Vou continuar usando.",neutro,3,Itaú
"App muito bom, transferências instantâneas sem nenhum problema todo dia uso.",positivo,5,Neon
App funciona bem na maioria das vezes mas às vezes trava ,neutro,3,Banco do Brasil
Atendimento ok mas poderia ser mais rápido em horários de pico Está de bom tamanho.,neutro,3,Inter
"Aplicativo horrível no iOS, não abre desde a última atualização ",negativo,2,Next
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Decepcionante.,negativo,2,Banco do Brasil
"Cancelei o cartão e continuaram cobrando anuidade, absurdo Nunca mais.",negativo,1,Santander
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,Next
"Abri minha conta em minutos, processo simples e rápido do banco.",positivo,5,Inter
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado ",neutro,3,Bradesco
"Nunca tive problemas com o app, sempre funciona perfeitamente no geral.",positivo,4,Itaú
"Conta salário sem taxas, economizo muito todo mês todo dia uso.",positivo,5,Inter
Meu pix sumiu e o banco não me dá retorno nenhum Nunca mais.,negativo,2,Neon
"Notificações em tempo real de todas as transações, me sinto seguro com certeza.",positivo,5,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,2,Itaú
App funciona bem na maioria das vezes mas às vezes trava No geral ok.,neutro,3,Itaú
"Sem cobranças escondidas, totalmente transparente com as tarifas sempre.",positivo,4,Nubank
"Nada de especial, igual a outros bancos digitais do mercado No geral ok.",neutro,3,C6 Bank
Atendentes mal treinados que não sabem responder nada Absurdo.,negativo,2,PicPay
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso No geral ok.",neutro,3,Bradesco
"Nunca tive problemas com o app, sempre funciona perfeitamente ",positivo,5,Itaú
"Suporte robotizado que não resolve nada, completamente inútil Não recomendo.",negativo,2,Inter
"Atendimento via chat foi excelente, resolveram tudo rapidamente sempre.",positivo,4,Nubank
"Nada de especial, igual a outros bancos digitais do mercado Está de bom tamanho.",neutro,3,Nubank
"Suporte robotizado que não resolve nada, completamente inútil Nunca mais.",negativo,1,Nubank
"Tarifas abusivas, cobram por tudo e explicam muito mal Não recomendo.",negativo,1,Nubank
Transferência rejeitada sem motivo nenhum e sem explicação Decepcionante.,negativo,2,Next
"Não consigo acessar o extrato antigo, app apagou tudo Decepcionante.",negativo,2,PicPay
Limite ridículo que não aumenta mesmo com bom histórico ,negativo,1,Itaú
"Atendimento horrível, fiquei 2 horas esperando na fila do chat Não recomendo.",negativo,1,Next
App travou durante uma transferência e o dinheiro sumiu do saldo Vou cancelar.,negativo,1,Bradesco
"Não consigo acessar o extrato antigo, app apagou tudo Vou cancelar.",negativo,1,Itaú
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Santander
Atendentes mal treinados que não sabem responder nada Decepcionante.,negativo,1,Banco do Brasil
"Rendimento mediano, existem opções melhores no mercado hoje ",neutro,3,C6 Bank
"Atendimento rápido e eficiente, resolveram meu problema em minutos do banco.",positivo,5,Itaú
"Notificações em tempo real de todas as transações, me sinto seguro vale muito a pena.",positivo,4,Neon
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Bradesco
"Não consigo acessar o extrato antigo, app apagou tudo ",negativo,2,Itaú
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,Neon
"Suporte robotizado que não resolve nada, completamente inútil Vou cancelar.",negativo,2,Nubank
"Atendimento horrível, fiquei 2 horas esperando na fila do chat ",negativo,1,C6 Bank
"Notificações em tempo real de todas as transações, me sinto seguro nunca decepcionou.",positivo,5,Inter
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso ",neutro,3,C6 Bank
"Aplicativo horrível no iOS, não abre desde a última atualização Evitem.",negativo,2,Itaú
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso No geral ok.",neutro,3,Inter
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Neon
Conta bloqueada por suspeita de fraude mesmo sendo transação minha ,negativo,1,PicPay
Suporte demora às vezes mas resolve no final das contas Está de bom tamanho.,neutro,3,C6 Bank
App funciona bem na maioria das vezes mas às vezes trava No geral ok.,neutro,3,C6 Bank
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Next
"Nunca tive problemas com o app, sempre funciona perfeitamente nunca decepcionou.",positivo,5,Neon
"Extrato detalhado e claro, consigo entender todos os gastos facilmente sempre.",positivo,5,C6 Bank
"Interface linda e funcional, uso todos os dias sem problemas sem dúvida.",positivo,5,C6 Bank
"Estou muito feliz com a decisão de trocar de banco, recomendo no geral.",positivo,4,C6 Bank
"Ótimo banco digital, recomendo para todos os meus amigos no geral.",positivo,5,Itaú
Fraude na minha conta e o banco demora semanas para resolver Vou cancelar.,negativo,2,Nubank
"App muito bom, transferências instantâneas sem nenhum problema nunca decepcionou.",positivo,4,PicPay
Atendimento ok mas poderia ser mais rápido em horários de pico Está de bom tamanho.,neutro,3,PicPay
"Crédito aprovado na hora, processo 100% digital e sem burocracia no geral.",positivo,5,C6 Bank
"Abri minha conta em minutos, processo simples e rápido vale muito a pena.",positivo,5,Neon
"Banco que valoriza o cliente, promoções e benefícios reais sempre.",positivo,4,Nubank
"Nada de especial, igual a outros bancos digitais do mercado Aguardando melhorias.",neutro,3,Santander
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Santander
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,Itaú
Conta sem tarifas mas o limite de crédito poderia ser maior Está de bom tamanho.,neutro,3,Nubank
"Abri minha conta em minutos, processo simples e rápido nunca decepcionou.",positivo,4,Itaú
"Atendimento rápido e eficiente, resolveram meu problema em minutos do banco.",positivo,5,Next
"Não consigo acessar minha conta há dias, suporte não resolve ",negativo,2,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda No geral ok.",neutro,3,Itaú
App travou durante uma transferência e o dinheiro sumiu do saldo Absurdo.,negativo,2,Bradesco
"Nada de especial, igual a outros bancos digitais do mercado Aguardando melhorias.",neutro,3,Itaú
"Pior experiência bancária da minha vida, vou cancelar a conta Decepcionante.",negativo,1,C6 Bank
"Nunca tive problemas com o app, sempre funciona perfeitamente vale muito a pena.",positivo,4,Bradesco
"Notificações em tempo real de todas as transações, me sinto seguro no geral.",positivo,4,C6 Bank
"App simples e direto, sem muitos recursos mas cumpre o básico Aguardando melhorias.",neutro,3,Bradesco
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente ",positivo,5,Banco do Brasil
"Melhor banco que já tive, zero tarifas e suporte incrível com certeza.",positivo,5,Bradesco
"Estou muito feliz com a decisão de trocar de banco, recomendo com certeza.",positivo,5,Neon
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Inter
"Cobraram tarifa que não estava prevista, uma vergonha ",negativo,1,Santander
"Atendimento via chat foi excelente, resolveram tudo rapidamente no geral.",positivo,5,PicPay
"Ótimo banco digital, recomendo para todos os meus amigos todo dia uso.",positivo,5,Inter
"Atendimento rápido e eficiente, resolveram meu problema em minutos no geral.",positivo,5,PicPay
"Suporte humanizado e ágil, nunca precisei esperar muito sempre.",positivo,4,Bradesco
"Nada de especial, igual a outros bancos digitais do mercado Está de bom tamanho.",neutro,3,Banco do Brasil
"Suporte robotizado que não resolve nada, completamente inútil Absurdo.",negativo,1,C6 Bank
App funciona bem na maioria das vezes mas às vezes trava Está de bom tamanho.,neutro,3,Banco do Brasil
"Banco que valoriza o cliente, promoções e benefícios reais nunca decepcionou.",positivo,4,Next
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,Neon
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente com certeza.",positivo,5,Bradesco
Algumas funcionalidades boas mas falta o cartão físico virtual Aguardando melhorias.,neutro,3,Nubank
"Notificações em tempo real de todas as transações, me sinto seguro vale muito a pena.",positivo,5,PicPay
Satisfeito com o básico mas quero ver evolução nos próximos meses No geral ok.,neutro,3,Bradesco
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente no geral.",positivo,5,Bradesco
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente ",positivo,4,Nubank
"Não consigo acessar minha conta há dias, suporte não resolve Absurdo.",negativo,2,PicPay
"Pior experiência bancária da minha vida, vou cancelar a conta Não recomendo.",negativo,1,Neon
"Suporte robotizado que não resolve nada, completamente inútil Nunca mais.",negativo,1,Bradesco
Atendentes mal treinados que não sabem responder nada Nunca mais.,negativo,1,Next
"Uso para transferências simples, funciona bem para isso ",neutro,3,Inter
"Aplicativo horrível no iOS, não abre desde a última atualização Decepcionante.",negativo,1,Banco do Brasil
"Suporte robotizado que não resolve nada, completamente inútil Péssimo.",negativo,2,Next
"Tarifas aceitáveis, não é o mais barato mas também não é caro Está de bom tamanho.",neutro,3,Inter
"Excelente experiência com o suporte via WhatsApp, muito ágil todo dia uso.",positivo,4,Bradesco
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Neon
"App lento e cheio de bugs, precisa melhorar urgentemente Absurdo.",negativo,2,C6 Bank
"Rendimento da conta superior aos outros bancos, ótima opção ",positivo,5,Neon
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma com certeza.",positivo,4,C6 Bank
"Banco que valoriza o cliente, promoções e benefícios reais todo dia uso.",positivo,4,PicPay
Meu pix sumiu e o banco não me dá retorno nenhum Péssimo.,negativo,1,Itaú
"Nada de especial, igual a outros bancos digitais do mercado ",neutro,3,Bradesco
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,C6 Bank
Conta sem tarifas mas o limite de crédito poderia ser maior ,neutro,3,Neon
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Aguardando melhorias.",neutro,3,Neon
Suporte demora às vezes mas resolve no final das contas Está de bom tamanho.,neutro,3,Bradesco
Algumas funcionalidades boas mas falta o cartão físico virtual Está de bom tamanho.,neutro,3,Itaú
"Sistema fora do ar nos fins de semana, totalmente irresponsável Péssimo.",negativo,2,Bradesco
"Nada de especial, igual a outros bancos digitais do mercado Está de bom tamanho.",neutro,3,Neon
"Estorno demorou 30 dias, totalmente inadmissível Péssimo.",negativo,2,C6 Bank
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sempre.",positivo,5,C6 Bank
"Ótimo banco digital, recomendo para todos os meus amigos com certeza.",positivo,5,Itaú
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Está de bom tamanho.",neutro,3,Nubank
Fraude na minha conta e o banco demora semanas para resolver Vou cancelar.,negativo,1,PicPay
"Melhor banco que já tive, zero tarifas e suporte incrível do banco.",positivo,5,Inter
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,Nubank
"Excelente experiência com o suporte via WhatsApp, muito ágil sempre.",positivo,4,C6 Bank
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Péssimo.",negativo,2,Bradesco
App funciona bem na maioria das vezes mas às vezes trava Vou continuar usando.,neutro,3,Banco do Brasil
App funciona bem na maioria das vezes mas às vezes trava Está de bom tamanho.,neutro,3,Itaú
Algumas funcionalidades boas mas falta o cartão físico virtual ,neutro,3,Itaú
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Bradesco
"Suporte humanizado e ágil, nunca precisei esperar muito sempre.",positivo,5,Bradesco
"Notificações em tempo real de todas as transações, me sinto seguro com certeza.",positivo,5,PicPay
Limite ridículo que não aumenta mesmo com bom histórico ,negativo,2,C6 Bank
"Conta salário sem taxas, economizo muito todo mês sem dúvida.",positivo,4,PicPay
"Crédito aprovado na hora, processo 100% digital e sem burocracia no geral.",positivo,5,Banco do Brasil
"Crédito aprovado na hora, processo 100% digital e sem burocracia do banco.",positivo,5,Next
"Sem cobranças escondidas, totalmente transparente com as tarifas todo dia uso.",positivo,4,Santander
App travou durante uma transferência e o dinheiro sumiu do saldo Absurdo.,negativo,2,Itaú
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Nubank
"App muito bom, transferências instantâneas sem nenhum problema vale muito a pena.",positivo,5,C6 Bank
"Excelente experiência com o suporte via WhatsApp, muito ágil nunca decepcionou.",positivo,4,Neon
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Aguardando melhorias.",neutro,3,Inter
Atendentes mal treinados que não sabem responder nada Absurdo.,negativo,1,Inter
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Inter
Investi meu dinheiro pelo app e o processo foi muito simples sempre.,positivo,5,C6 Bank
"Estou muito feliz com a decisão de trocar de banco, recomendo do banco.",positivo,5,Next
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma ",positivo,5,Next
Conta sem tarifas mas o limite de crédito poderia ser maior ,neutro,3,Neon
"Nada de especial, igual a outros bancos digitais do mercado Está de bom tamanho.",neutro,3,Bradesco
"Cartão sem anuidade e cashback real, estou muito satisfeito sempre.",positivo,4,Itaú
"App simples e direto, sem muitos recursos mas cumpre o básico No geral ok.",neutro,3,Neon
"Não consigo acessar o extrato antigo, app apagou tudo Não recomendo.",negativo,2,Next
"Atendimento horrível, fiquei 2 horas esperando na fila do chat Absurdo.",negativo,2,Inter
"Melhor banco que já tive, zero tarifas e suporte incrível com certeza.",positivo,5,Santander
Suporte demora às vezes mas resolve no final das contas Está de bom tamanho.,neutro,3,Banco do Brasil
Cobraram IOF absurdo sem informar antes da compra internacional ,negativo,2,PicPay
Limite ridículo que não aumenta mesmo com bom histórico Péssimo.,negativo,1,Banco do Brasil
"Melhor banco que já tive, zero tarifas e suporte incrível do banco.",positivo,4,Bradesco
Satisfeito com o básico mas quero ver evolução nos próximos meses Vou continuar usando.,neutro,3,C6 Bank
"Extrato detalhado e claro, consigo entender todos os gastos facilmente ",positivo,5,Inter
"Suporte robotizado que não resolve nada, completamente inútil Não recomendo.",negativo,1,Banco do Brasil
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Santander
App funciona bem na maioria das vezes mas às vezes trava Vou continuar usando.,neutro,3,Neon
Transferência rejeitada sem motivo nenhum e sem explicação Decepcionante.,negativo,2,Santander
"Rendimento mediano, existem opções melhores no mercado hoje Aguardando melhorias.",neutro,3,Bradesco
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Está de bom tamanho.",neutro,3,Santander
"Fila de espera eterna para falar com humano, é impossível Vou cancelar.",negativo,1,Banco do Brasil
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Nubank
"App muito bom, transferências instantâneas sem nenhum problema sempre.",positivo,5,Itaú
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente ",positivo,5,PicPay
"Banco que valoriza o cliente, promoções e benefícios reais vale muito a pena.",positivo,4,Nubank
Algumas funcionalidades boas mas falta o cartão físico virtual Aguardando melhorias.,neutro,3,Bradesco
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma sempre.",positivo,4,Next
"App estável e bonito, atualizações sempre melhoram a experiência ",positivo,4,Itaú
"Nunca tive problemas com o app, sempre funciona perfeitamente do banco.",positivo,4,Bradesco
"Cartão sem anuidade e cashback real, estou muito satisfeito com certeza.",positivo,4,PicPay
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente com certeza.",positivo,5,Inter
"Aplicativo horrível no iOS, não abre desde a última atualização Evitem.",negativo,2,Banco do Brasil
"Atendimento via chat foi excelente, resolveram tudo rapidamente com certeza.",positivo,4,Inter
"App estável e bonito, atualizações sempre melhoram a experiência com certeza.",positivo,5,Nubank
Fraude na minha conta e o banco demora semanas para resolver Evitem.,negativo,1,Next
"Abri minha conta em minutos, processo simples e rápido sem dúvida.",positivo,4,Next
"App muito bom, transferências instantâneas sem nenhum problema sem dúvida.",positivo,4,C6 Bank
App travou durante uma transferência e o dinheiro sumiu do saldo Absurdo.,negativo,1,Banco do Brasil
"Banco que valoriza o cliente, promoções e benefícios reais sempre.",positivo,4,PicPay
Limite ridículo que não aumenta mesmo com bom histórico ,negativo,1,Santander
Cobraram IOF absurdo sem informar antes da compra internacional Vou cancelar.,negativo,1,Inter
"Suporte robotizado que não resolve nada, completamente inútil Nunca mais.",negativo,1,Inter
